Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757124089.236,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2300,2151448,16898,223590,5334276.0,26.932893349924512,0.0,0.0
1757124089.403,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2296,2151384,16898,223590,5329760.0,26.932092166175526,0.0,0.0
1757124089.57,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2351,2150788,16898,223590,5320543.0,26.92463114251306,0.0,0.0
1757124089.7370002,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2680,2150988,16898,223590,7958719.0,26.927134841728655,0.0,0.0
1757124089.901,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2983,2152908,16898,223590,8949685.0,26.95117035419833,0.0,0.0
1757124090.0670002,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3000,2152136,16898,223590,8994422.0,26.941506075226147,0.0,0.0
1757124090.2329998,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2987,2152544,16898,223590,8955605.0,26.946613621625954,0.0,0.0
1757124090.3979998,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2979,2153748,16898,223590,8975685.0,26.96168589090381,0.0,0.0
1757124090.564,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3023,2154080,16898,223592,9063575.0,26.96584203160169,2.0,0.0
1757124090.729,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3038,2154224,16898,223592,8965859.0,26.967644695036917,0.0,0.0
1757124090.895,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3033,2153112,16898,223592,9005104.0,26.95372412739823,0.0,0.0
1757124091.061,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3012,2152636,16898,223592,9001075.0,26.94776532326512,0.0,0.0
1757124091.226,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2959,2151312,16898,223594,8968422.0,26.93119083445791,2.0,0.0
1757124091.3920002,8.67,2.14,10.67,9.81,8.84,9.0,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.9,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3013,2153464,16898,223594,8999062.0,26.958130638017668,0.0,0.0
1757124091.5579998,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3014,2152196,16898,223680,9022437.0,26.942257184990826,86.0,0.0
1757124091.724,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2954,2152412,16898,223680,9034767.0,26.94496118014366,0.0,0.0
1757124091.89,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2997,2153080,16898,223680,9005531.0,26.953323535523737,0.0,0.0
1757124092.055,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2978,2151512,16898,223680,9026772.0,26.933694533673503,0.0,0.0
1757124092.221,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2992,2151396,16898,223680,9006569.0,26.932242388128458,0.0,0.0
1757124092.3860002,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2990,2152480,16898,223680,8950843.0,26.945812437876963,0.0,0.0
1757124092.552,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3016,2151512,16898,223680,9040993.0,26.933694533673503,0.0,0.0
1757124092.718,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2946,2151088,16898,223680,9032264.0,26.92838669133645,0.0,0.0
1757124092.8839998,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3011,2151172,16898,223680,8957070.0,26.929438245007,0.0,0.0
1757124093.049,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,2992,2150596,16898,223680,8994300.0,26.922227591266097,0.0,0.0
1757124093.214,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3009,2151256,16898,223680,8932350.0,26.93048979867755,0.0,0.0
1757124093.38,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.4,14.77,16.83,9.5,4.09,9.02,8.3,3006,2150980,16898,223680,9044350.0,26.92703469376003,0.0,0.0
1757124093.545,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.41,14.77,16.83,9.5,4.09,9.02,8.3,3009,2150932,16898,223680,9008278.0,26.926433805948292,0.0,0.0
1757124093.71,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.41,14.77,16.83,9.5,4.09,9.02,8.3,2985,2150520,16898,223680,8942604.0,26.921276185564167,0.0,0.0
1757124093.8760002,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.41,14.77,16.83,9.5,4.09,9.02,8.3,3019,2150616,16898,223680,9007972.0,26.922477961187656,0.0,0.0
1757124094.042,8.67,2.14,10.67,9.81,8.84,8.99,8.52,10.26,10.18,9.41,12.63,2.94,2.83,4.53,0.63,5.26,6.63,4.88,2.5,10.97,5.16,6.07,5.28,5.77,11.89,9.21,11.56,13.59,12.82,18.16,17.41,14.77,16.83,9.5,4.09,9.02,8.3,2993,2149040,16898,223680,8948586.0,26.9027488113688,0.0,0.0
