Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757002811.272,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.78,7.42,2299,1998272,16621,137353,4819385.0,25.015360194687652,0.0,0.0
1757002811.4429998,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2447,1999268,16621,137353,4871814.0,25.027828616781296,0.0,0.0
1757002811.6120002,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2310,1998056,16621,137353,4913927.0,25.01265619953481,0.0,0.0
1757002811.781,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2466,2100280,16621,137403,6213241.0,26.292346942607704,50.0,0.0
1757002811.95,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2993,2650816,16621,137403,8918740.0,33.184229699380836,0.0,0.0
1757002812.1179998,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,3000,3198704,16621,137403,8968605.0,40.04296347853954,0.0,0.0
1757002812.286,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,3005,3737152,16621,137403,8918129.0,46.783522654722354,0.0,0.0
1757002812.456,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.45,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2957,4278284,16621,137403,9046546.0,53.55768147437839,0.0,0.0
1757002812.6260002,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.44,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2973,4819772,16621,137403,9091042.0,60.33629687863819,0.0,0.0
1757002812.795,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.44,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2950,5356856,16621,137403,9064735.0,67.05978082617067,0.0,0.0
1757002812.964,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.44,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2917,5906768,16621,137403,8905861.0,73.94385204139115,0.0,0.0
1757002813.1320002,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.44,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2926,6459412,16621,137403,8917213.0,80.86212378789662,0.0,0.0
1757002813.301,10.86,1.65,10.88,16.31,21.31,13.34,10.34,5.1,8.76,5.19,5.71,7.7,0.78,8.15,10.48,12.44,11.74,11.39,17.56,22.7,15.96,10.16,5.28,5.73,6.3,6.87,6.52,6.08,6.9,8.42,19.6,16.31,16.08,19.18,19.71,12.77,7.42,2933,7009948,16621,137403,8921730.0,87.75400654466975,0.0,0.0
