Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,Cpu4_usage,Cpu5_usage,Cpu6_usage,Cpu7_usage,Cpu8_usage,Cpu9_usage,Cpu10_usage,Cpu11_usage,Cpu12_usage,Cpu13_usage,Cpu14_usage,Cpu15_usage,Cpu16_usage,Cpu17_usage,Cpu18_usage,Cpu19_usage,Cpu20_usage,Cpu21_usage,Cpu22_usage,Cpu23_usage,Cpu24_usage,Cpu25_usage,Cpu26_usage,Cpu27_usage,Cpu28_usage,Cpu29_usage,Cpu30_usage,Cpu31_usage,Cpu32_usage,Cpu33_usage,Cpu34_usage,Cpu35_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1757010414.2610002,9.61,2.05,9.56,13.93,19.28,11.89,9.32,4.94,7.89,4.93,5.34,6.92,1.23,7.25,9.17,10.75,10.25,9.93,14.91,19.16,13.69,8.97,5.16,5.38,5.92,6.36,6.07,5.71,6.41,7.66,16.72,14.07,13.83,16.39,16.79,11.12,6.82,2323,2064872,16726,181340,4691089.0,25.849092033479465,0.0,0.0
1757010414.429,9.61,2.05,9.56,13.93,19.28,11.89,9.32,4.94,7.89,4.93,5.34,6.92,1.23,7.25,9.17,10.75,10.25,9.93,14.91,19.16,13.69,8.97,5.16,5.38,5.92,6.36,6.07,5.71,6.41,7.66,16.72,14.07,13.83,16.39,16.79,11.12,6.82,2387,2064292,16726,181340,4749560.0,25.841831305754255,0.0,0.0
1757010414.596,9.61,2.05,9.56,13.93,19.28,11.89,9.32,4.94,7.89,4.93,5.34,6.92,1.23,7.25,9.17,10.75,10.25,9.93,14.91,19.16,13.69,8.97,5.16,5.38,5.92,6.36,6.07,5.71,6.41,7.66,16.72,14.07,13.83,16.39,16.79,11.12,6.82,2331,2063920,16726,181340,4709400.0,25.837174425213256,0.0,0.0
1757010415.885,9.61,2.05,9.56,13.93,19.28,11.89,9.32,4.94,7.89,4.93,5.34,6.92,1.23,7.25,9.17,10.75,10.25,9.93,14.91,19.16,13.69,8.97,5.16,5.38,5.92,6.36,6.07,5.71,6.41,7.66,16.72,14.07,13.83,16.39,16.79,11.12,6.82,2706,6736372,16726,181340,110900717.0,84.32924646164707,0.0,0.0
1757010417.6929998,9.61,2.05,9.57,13.93,19.28,11.9,9.32,4.95,7.9,4.94,5.35,6.93,1.23,7.25,9.18,10.76,10.25,9.93,14.91,19.17,13.69,8.97,5.16,5.38,5.92,6.36,6.07,5.72,6.42,7.66,16.72,14.07,13.83,16.4,16.8,11.12,6.82,2699,6745516,16726,181340,185006301.0,84.4437155897839,0.0,0.0
1757010419.532,9.61,2.06,9.57,13.93,19.29,11.9,9.32,4.95,7.9,4.94,5.35,6.93,1.23,7.26,9.18,10.76,10.26,9.94,14.91,19.17,13.7,8.97,5.17,5.39,5.93,6.37,6.08,5.72,6.42,7.66,16.72,14.07,13.84,16.4,16.8,11.12,6.83,2698,6751680,16726,181342,193730461.0,84.52087959960842,2.0,0.0
1757010421.289,9.62,2.06,9.58,13.94,19.29,11.9,9.33,4.96,7.91,4.95,5.35,6.94,1.24,7.26,9.19,10.76,10.26,9.94,14.92,19.17,13.7,8.98,5.17,5.39,5.93,6.37,6.08,5.73,6.43,7.67,16.73,14.08,13.84,16.4,16.8,11.13,6.83,2699,6753020,16726,181344,185213638.0,84.53765438435288,2.0,0.0
1757010422.665,9.62,2.07,9.58,13.94,19.3,11.91,9.33,4.96,7.91,4.95,5.36,6.94,1.24,7.26,9.19,10.77,10.27,9.94,14.92,19.18,13.71,8.98,5.18,5.4,5.94,6.38,6.09,5.73,6.43,7.67,16.73,14.08,13.84,16.41,16.81,11.13,6.83,2700,6753004,16726,181344,143204650.0,84.53745408841563,0.0,0.0
1757010424.461,9.62,2.07,9.58,13.94,19.3,11.91,9.33,4.96,7.91,4.95,5.36,6.94,1.25,7.27,9.19,10.77,10.27,9.95,14.92,19.18,13.71,8.99,5.18,5.4,5.94,6.38,6.09,5.73,6.43,7.67,16.73,14.08,13.85,16.41,16.81,11.14,6.84,2699,6756760,16726,181344,189606570.0,84.58447355968444,0.0,0.0
1757010425.689,9.63,2.08,9.59,13.95,19.3,11.91,9.34,4.97,7.92,4.96,5.37,6.95,1.25,7.27,9.2,10.77,10.27,9.95,14.93,19.18,13.71,8.99,5.18,5.4,5.94,6.38,6.09,5.74,6.44,7.68,16.74,14.09,13.85,16.41,16.81,11.14,6.84,2699,6758368,16726,181346,147865955.0,84.6046033013778,2.0,0.0
1757010425.8760002,9.63,2.08,9.59,13.95,19.3,11.92,9.34,4.97,7.92,4.96,5.37,6.95,1.25,7.27,9.2,10.78,10.28,9.95,14.93,19.18,13.71,8.99,5.19,5.41,5.95,6.39,6.1,5.74,6.44,7.68,16.74,14.09,13.85,16.42,16.82,11.14,6.84,2613,6758308,16726,181346,10000707.0,84.6038521916131,0.0,0.0
