Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1744851366.183,31.68,30.35,28.29,35.16,32.91,2498,7755104,50216,297421,376402.0,97.08223900813452,3.0,0.0
1744851366.349,31.68,30.35,28.29,35.16,32.91,2483,7755104,50216,297421,333068.0,97.08223900813452,0.0,0.0
1744851366.518,31.68,30.35,28.29,35.16,32.91,2508,7755104,50216,297422,322570.0,97.08223900813452,1.0,0.0
1744851366.684,31.68,30.35,28.29,35.16,32.91,2459,7755608,50216,297422,300415.0,97.0885483301578,0.0,0.0
1744851366.86,31.68,30.35,28.29,35.16,32.91,2486,7755608,50216,297422,336668.0,97.0885483301578,0.0,0.0
1744851367.078,31.68,30.35,28.29,35.16,32.91,2975,7755860,50216,297423,382324.0,97.09170299116946,1.0,0.0
1744851367.269,31.68,30.35,28.29,35.16,32.91,1618,7756108,50216,297423,295471.0,97.09480757819678,0.0,0.0
1744851367.461,31.68,30.35,28.29,35.16,32.91,1524,7756108,50216,297423,357970.0,97.09480757819678,0.0,0.0
1744851367.589,31.68,30.35,28.29,35.16,32.91,2521,7756360,50216,297423,1149838.0,97.09796223920844,0.0,0.0
1744851367.716,31.68,30.35,28.29,35.16,32.91,3700,7755856,50216,297423,1379513.0,97.09165291718514,0.0,0.0
1744851367.843,31.68,30.35,28.29,35.16,32.91,3700,7756108,50216,297423,1355465.0,97.09480757819678,0.0,0.0
1744851367.971,31.68,30.35,28.29,35.16,32.91,3700,7756356,50216,297423,1370359.0,97.09791216522412,0.0,0.0
1744851368.099,31.68,30.35,28.29,35.16,32.91,3700,7757364,50216,297423,1421810.0,97.1105308092707,0.0,0.0
1744851368.226,31.68,30.35,28.29,35.16,32.91,3700,7758116,50216,297423,1360531.0,97.11994471832132,0.0,0.0
1744851368.353,31.68,30.35,28.29,35.16,32.91,3700,7757360,50216,297423,1366878.0,97.11048073528639,0.0,0.0
1744851368.498,31.68,30.35,28.29,35.16,32.91,3700,7758112,50216,297423,1514340.0,97.11989464433701,0.0,0.0
1744851368.626,31.68,30.35,28.29,35.16,32.91,3700,7758684,50216,297423,1385128.0,97.1270552240936,0.0,0.0
1744851368.753,31.68,30.35,28.29,35.16,32.91,3700,7758184,50216,297423,1366635.0,97.12079597605462,0.0,0.0
1744851368.88,31.68,30.35,28.29,35.16,32.91,3700,7758356,50216,297423,1381466.0,97.12294915738003,0.0,0.0
1744851369.012,31.68,30.35,28.29,35.16,32.91,3700,7758104,50216,297424,1373226.0,97.11979449636839,1.0,0.0
1744851369.138,31.68,30.35,28.29,35.16,32.91,3700,7758180,50216,297424,1465024.0,97.12074590207031,0.0,0.0
1744851369.264,31.68,30.35,28.29,35.16,32.91,3700,7757492,50216,297425,1341733.0,97.11213317676868,1.0,0.0
1744851369.391,31.68,30.35,28.29,35.16,32.91,3700,7757492,50216,297425,1373409.0,97.11213317676868,0.0,0.0
1744851369.518,31.68,30.35,28.29,35.16,32.91,3700,7757716,50216,297425,1361568.0,97.11493731989013,0.0,0.0
1744851369.646,31.68,30.35,28.29,35.16,32.91,3700,7759476,50216,297425,1375912.0,97.13696987298735,0.0,0.0
1744851369.773,31.68,30.35,28.29,35.16,32.91,3700,7759476,50216,297425,1358274.0,97.13696987298735,0.0,0.0
1744851369.901,31.68,30.35,28.29,35.16,32.91,3700,7759728,50216,297425,1380733.0,97.14012453399899,0.0,0.0
