Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time
1733754639.131,30.99,40.77,24.28,22.03,36.88,6256588,24558,24160,1162472.0
1733754639.248,30.99,40.77,24.28,22.04,36.87,6259864,24558,24164,1199582.0
1733754639.364,30.99,40.76,24.28,22.05,36.87,6261124,24558,24164,1294492.0
1733754639.48,30.99,40.76,24.28,22.06,36.87,6261880,24558,24164,1174984.0
1733754639.596,30.99,40.76,24.27,22.07,36.86,6262632,24558,24164,1177670.0
1733754639.712,30.99,40.75,24.27,22.08,36.86,6263404,24558,24164,1178953.0
1733754639.828,30.99,40.75,24.27,22.09,36.85,6264768,24558,24164,1316098.0
1733754639.943,30.99,40.74,24.27,22.1,36.85,6265904,24558,24164,1483394.0
1733754640.059,30.99,40.74,24.27,22.11,36.85,6265476,24558,24164,1725398.0
1733754640.175,30.99,40.75,24.26,22.11,36.84,6266120,24558,24164,1548764.0
1733754640.291,30.99,40.75,24.26,22.11,36.84,6265864,24558,24164,1486201.0
1733754640.407,30.99,40.76,24.26,22.1,36.84,6266108,24558,24164,1479672.0
1733754640.523,30.99,40.77,24.26,22.1,36.83,6265452,24558,24164,1475216.0
1733754640.639,30.99,40.78,24.26,22.1,36.83,6265596,24558,24164,1489070.0
1733754640.755,30.99,40.79,24.25,22.1,36.82,6265192,24558,24164,1489743.0
1733754640.87,30.99,40.79,24.25,22.1,36.82,6265436,24558,24164,1515988.0
1733754640.986,30.99,40.8,24.25,22.09,36.82,6265832,24558,24164,1531184.0
1733754641.102,30.99,40.81,24.25,22.09,36.81,6266688,24558,24164,1526608.0
1733754641.218,30.99,40.81,24.25,22.1,36.81,6267044,24558,24164,1517941.0
1733754641.334,30.99,40.8,24.24,22.11,36.81,6267444,24558,24164,1541621.0
1733754641.449,30.99,40.8,24.24,22.12,36.8,6266536,24558,24164,1533444.0
1733754641.565,30.99,40.79,24.24,22.13,36.8,6265928,24558,24164,1537044.0
1733754641.681,30.99,40.79,24.24,22.14,36.8,6265528,24558,24164,1538204.0
1733754641.796,30.99,40.78,24.24,22.15,36.79,6264768,24558,24164,1526425.0
1733754641.912,30.99,40.78,24.23,22.16,36.79,6264160,24558,24164,1541927.0
1733754642.03,30.99,40.77,24.23,22.17,36.79,6265016,24558,24164,1538264.0
1733754642.145,30.99,40.78,24.23,22.17,36.78,6265164,24558,24164,1588253.0
1733754642.261,30.99,40.78,24.23,22.17,36.78,6265416,24558,24164,1513425.0
1733754642.377,30.99,40.79,24.23,22.17,36.78,6266420,24558,24164,1552547.0
1733754642.493,30.99,40.8,24.23,22.17,36.77,6267288,24558,24164,1513118.0
1733754642.609,30.99,40.81,24.22,22.17,36.77,6267384,24558,24164,1502743.0
1733754642.724,30.99,40.82,24.22,22.16,36.77,6267884,24558,24164,1511898.0
1733754642.84,30.99,40.82,24.22,22.16,36.76,6269392,24558,24164,1525753.0
1733754642.956,30.99,40.83,24.22,22.16,36.76,6269468,24558,24164,1487240.0
1733754643.072,30.99,40.84,24.22,22.16,36.76,6268752,24558,24164,1524105.0
1733754643.187,30.99,40.85,24.21,22.16,36.75,6268748,24558,24164,1522335.0
1733754643.303,30.99,40.85,24.21,22.15,36.75,6269100,24558,24164,1523739.0
1733754643.419,31.0,40.86,24.21,22.15,36.75,6269092,24558,24164,1493037.0
1733754643.535,30.99,40.87,24.21,22.15,36.74,6269444,24558,24164,1498715.0
1733754643.65,30.99,40.88,24.21,22.15,36.74,6268832,24558,24164,1494748.0
1733754643.766,30.99,40.88,24.2,22.15,36.74,6269432,24558,24164,1488399.0
1733754643.882,30.99,40.89,24.2,22.14,36.73,6268776,24558,24164,1505855.0
1733754643.997,30.99,40.9,24.2,22.14,36.73,6268964,24558,24164,1499936.0
