Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1743589190.225,16.58,16.57,16.56,16.54,16.67,2489,3467152,411362,66054,359436.0,43.403528713674454,0.0,1.0
1743589190.653,16.59,16.57,16.57,16.54,16.67,2688,4884652,411365,66054,4747668.0,61.14849690417592,0.0,3.0
1743589191.058,16.61,16.59,16.59,16.56,16.69,3699,6816732,411369,66056,8015666.0,85.33523280647157,2.0,4.0
1743589191.518,16.62,16.61,16.6,16.58,16.71,3698,7880792,411374,67146,7196026.0,98.65566374318054,1090.0,5.0
1743589191.963,16.64,16.63,16.62,16.6,16.73,2810,7839156,411395,67276,5541246.0,98.1344436404788,130.0,21.0
1743589192.419,16.66,16.65,16.64,16.61,16.74,3205,7840624,411397,67276,4498767.0,98.15282079272124,0.0,2.0
1743589192.945,16.68,16.67,16.66,16.63,16.76,2699,7850452,411512,67283,5047229.0,98.2758525721754,7.0,115.0
1743589193.47,16.7,16.69,16.68,16.65,16.78,2804,7851712,411554,67287,4887744.0,98.29162587723361,4.0,42.0
1743589193.992,16.72,16.71,16.7,16.68,16.81,2976,7851964,411588,67287,5501877.0,98.29478053824525,0.0,34.0
1743589194.56,16.75,16.73,16.72,16.7,16.83,2903,7852720,411594,67290,5290941.0,98.3042445212802,3.0,6.0
1743589195.111,16.77,16.75,16.75,16.72,16.85,2712,7855224,411596,67290,4798938.0,98.3355908354594,0.0,2.0
1743589195.682,16.79,16.78,16.77,16.74,16.88,3021,7855980,411596,67290,6207504.0,98.34505481849433,0.0,0.0
1743589196.214,16.81,16.8,16.79,16.77,16.9,2842,7856736,411620,67290,5125353.0,98.35451880152925,0.0,24.0
1743589196.761,16.84,16.82,16.82,16.79,16.92,2731,7857744,411622,67290,4464955.0,98.36713744557584,0.0,2.0
