Timestamp,CpuALL_usage,Cpu0_usage,Cpu1_usage,Cpu2_usage,Cpu3_usage,cpu_frequency,memory_usage,Reads_on_sda,Writes_on_sda,Energy_usage_during_time,memory_usage_perce,write_rate_during_time,read_rate_during_time
1744731808.257,82.77,82.76,82.79,82.74,82.78,2530,7805368,39040,157847,339904.0,97.71146869499687,0.0,0.0
1744731808.426,82.77,82.76,82.79,82.74,82.78,2410,7805620,39040,157847,319701.0,97.7146233560085,0.0,0.0
1744731808.603,82.76,82.76,82.79,82.74,82.77,2484,7806628,39040,157847,339111.0,97.72724200005509,0.0,0.0
1744731808.778,82.76,82.76,82.79,82.74,82.77,2489,7807132,39040,157847,330443.0,97.73355132207837,0.0,0.0
1744731808.949,82.76,82.76,82.79,82.74,82.77,2434,7808896,39040,157847,327880.0,97.75563394915989,0.0,0.0
1744731809.117,82.76,82.76,82.79,82.74,82.77,2494,7809400,39040,157847,364135.0,97.76194327118317,0.0,0.0
1744731809.286,82.76,82.76,82.79,82.74,82.77,2477,7810228,39040,157849,340209.0,97.77230858593572,2.0,0.0
1744731809.452,82.76,82.75,82.79,82.73,82.77,2536,7810060,39040,157849,338073.0,97.77020547859462,0.0,0.0
1744731809.621,82.76,82.75,82.78,82.73,82.77,2451,7810060,39040,157849,330260.0,97.77020547859462,0.0,0.0
1744731809.787,82.76,82.75,82.78,82.73,82.77,2536,7809544,39040,157849,332213.0,97.7637459346184,0.0,0.0
1744731809.956,82.76,82.75,82.78,82.73,82.77,2490,7808524,39040,157849,334961.0,97.75097706861888,0.0,0.0
1744731810.351,82.76,82.75,82.78,82.73,82.77,2663,7808628,39040,157849,4741748.0,97.75227899221099,0.0,0.0
1744731810.759,82.76,82.75,82.78,82.73,82.77,3699,7808880,39040,157849,7811991.0,97.75543365322264,0.0,0.0
1744731811.171,82.76,82.75,82.78,82.73,82.77,3700,7808880,39040,157849,8510171.0,97.75543365322264,0.0,0.0
1744731811.575,82.76,82.75,82.78,82.73,82.77,3699,7808880,39040,157849,7878277.0,97.75543365322264,0.0,0.0
1744731811.991,82.76,82.75,82.78,82.73,82.77,3699,7808880,39040,157849,7925760.0,97.75543365322264,0.0,0.0
1744731812.367,82.76,82.75,82.79,82.73,82.77,3699,7808536,39040,157849,8096964.0,97.75112729057182,0.0,0.0
